Sample in Buffer,Sample in Window,TRIGGER,x[9:0],y[9:0],p_c_down,p_c_up,w_en,p_c_left,e_cd_reg[1:0],<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,p_c_right,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,move_cnt_reg[3:0],<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>_24,<const0>_25,motion_timer_reg[21:0],e_state_reg[2:0],<const0>_26,<const0>_27,<const0>_28,<const0>_29,<const0>_30,<const0>_31,<const0>_32,<const0>_33,<const0>_34,<const0>_35,<const0>_36,<const0>_37,<const0>_38,<const0>_39,<const0>_40,<const0>_41,<const0>_42,<const0>_43,<const0>,random_16_1[15:0],random_16[15:0],data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
18,18,0,333,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ec0f,ec0f,d81f
19,19,0,333,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d81f,d81f,b03e
20,20,0,333,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c467a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b03e,b03e,607d
21,21,0,334,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c467b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607d,607d,c0fb
22,22,0,334,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c467c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c0fb,c0fb,81f7
23,23,0,334,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c467d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81f7,81f7,03ef
24,24,0,334,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c467e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03ef,03ef,07de
25,25,0,335,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c467f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07de,07de,0fbd
26,26,0,335,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0fbd,0fbd,1f7b
27,27,0,335,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1f7b,1f7b,3ef6
